"site","campaign","height_bin_num","height_mid_m","stem_SA_m2","flux_nmol_m2_s","total_flux_nmol_s","scenario"
"SRS6","Mar 2023",2.5,2.75,78.89138387,0.0763913159399685,6.0266166301545,"exponential"
"SRS6","Mar 2023",3,3.25,82.93827841,0.0611083705155164,5.06822304699733,"exponential"
"SRS6","Mar 2023",3.5,3.75,68.7351061,0.0488829509102337,3.359974817296,"exponential"
"SRS6","Mar 2023",4,4.25,68.78117328,0.0391033645560157,2.68957529335833,"exponential"
"SRS6","Mar 2023",4.5,4.75,71.89296102,0.0312802948907193,2.24883302127259,"exponential"
"SRS6","Mar 2023",5,5.25,69.34825828,0.0250223186562045,1.73525421693493,"exponential"
"SRS6","Mar 2023",5.5,5.75,73.0826153,0.0200163212373809,1.46284510471273,"exponential"
"SRS6","Mar 2023",6,6.25,71.63120025,0.0160118301338425,1.14694661068626,"exponential"
"SRS6","Mar 2023",6.5,6.75,67.44151417,0.0128084826974217,0.863823467334364,"exponential"
"SRS6","Mar 2023",7,7.25,65.2632522,0.0102460010903688,0.668687353202214,"exponential"
"SRS6","Mar 2023",7.5,7.75,66.76944564,0.00819617286635919,0.547253918656413,"exponential"
"SRS6","Mar 2023",8,8.25,64.54636338,0.0065564359268309,0.423194095810914,"exponential"
"SRS6","Mar 2023",8.5,8.75,63.6124659,0.00524474687925098,0.333631282010484,"exponential"
"SRS6","Mar 2023",9,9.25,66.36048152,0.00419547603826105,0.278413810104626,"exponential"
"SRS6","Mar 2023",9.5,9.75,65.80203365,0.00335612367820055,0.220839763206514,"exponential"
"SRS6","Mar 2023",10,10.25,64.85786297,0.00268469323639539,0.174123466042618,"exponential"
"SRS6","Mar 2023",10.5,10.75,58.13859212,0.00214759003679258,0.12485786119006,"exponential"
"SRS6","Mar 2023",11,11.25,55.182101038,0.00171794039766095,0.0947995606009883,"exponential"
"SRS6","Mar 2023",11.5,11.75,52.560907426,0.00137424702077834,0.0722316704395867,"exponential"
"SRS6","Mar 2023",12,12.25,45.375874789,0.00109931338519631,0.0498823065205394,"exponential"
"SRS6","Mar 2023",12.5,12.75,37.425082277,0.000879383328178733,0.0329109934101112,"exponential"
"SRS6","Mar 2023",13,13.25,31.191275642,0.000703452762690242,0.0219415890221978,"exponential"
"SRS6","Mar 2023",13.5,13.75,25.433878339,0.00056271909357367,0.0143121289649851,"exponential"
"SRS6","Mar 2023",14,14.25,20.495999416,0.000450140784238853,0.00922608525087732,"exponential"
"SRS6","Mar 2023",14.5,14.75,19.232399134,0.000360085037009042,0.00692529915393905,"exponential"
"SRS6","Mar 2023",15,15.25,15.532284152,0.000288045958992692,0.00447401168390983,"exponential"
"SRS6","Mar 2023",15.5,15.75,12.90201222,0.00023041911205529,0.0029728701994589,"exponential"
"SRS6","Mar 2023",16,16.25,9.452496987,0.000184321166615274,0.0017422952720712,"exponential"
"SRS6","Mar 2023",16.5,16.75,8.741245562,0.000147445635734692,0.00128885850900215,"exponential"
"SRS6","Mar 2023",17,17.25,5.382725622,0.000117947471234191,0.000634878875462389,"exponential"
"SRS6","Mar 2023",17.5,17.75,2.194612892,9.43507476584275e-05,0.000207063367181024,"exponential"
"SRS6","Mar 2023",18,18.25,0.582026786,7.54748151067071e-05,4.3928364060501e-05,"exponential"
"SRS6","Mar 2023",18.5,18.75,0.085158838,6.03752260237953e-05,5.14148409217377e-06,"exponential"
"CP40","Mar 2022",0,0.25,46.74574591,0,0,"zero_above_max"
"CP40","Mar 2022",0.5,0.75,28.95552353,0,0,"zero_above_max"
"CP40","Mar 2022",1,1.25,23.20125921,0,0,"zero_above_max"
"CP40","Mar 2022",1.5,1.75,29.328222484,0,0,"zero_above_max"
"CP40","Mar 2022",2,2.25,26.96826386,0,0,"zero_above_max"
"CP40","Mar 2022",2.5,2.75,28.32326539,0,0,"zero_above_max"
"CP40","Mar 2022",3,3.25,22.64762369,0,0,"zero_above_max"
"CP40","Mar 2022",3.5,3.75,22.323977948,0,0,"zero_above_max"
"CP40","Mar 2022",4,4.25,21.659234474,0,0,"zero_above_max"
"CP40","Mar 2022",4.5,4.75,21.398478075,0,0,"zero_above_max"
"CP40","Mar 2022",5,5.25,19.995737916,0,0,"zero_above_max"
"CP40","Mar 2022",5.5,5.75,19.732948216,0,0,"zero_above_max"
"CP40","Mar 2022",6,6.25,19.194600626,0,0,"zero_above_max"
"CP40","Mar 2022",6.5,6.75,17.010922738,0,0,"zero_above_max"
"CP40","Mar 2022",7,7.25,14.48891203,0,0,"zero_above_max"
"CP40","Mar 2022",7.5,7.75,12.644456098,0,0,"zero_above_max"
"CP40","Mar 2022",8,8.25,15.232143672,0,0,"zero_above_max"
"CP40","Mar 2022",8.5,8.75,9.721603803,0,0,"zero_above_max"
"CP40","Mar 2022",9,9.25,7.785579611,0,0,"zero_above_max"
"CP40","Mar 2022",9.5,9.75,5.162688347,0,0,"zero_above_max"
