"","source_file","...1","segment_class","height_bin","height_bin_num","Total_volume_m3","Total_surface_area_m2","site"
"202","SRS6_plot_component_summary.csv",60,"branch","14–14.5",14,0.141772636,19.80914937,"SRS6"
"203","SRS6_plot_component_summary.csv",61,"trunk","14–14.5",14,0.029281814,0.686850046,"SRS6"
"204","SRS6_plot_component_summary.csv",62,"branch","14.5–15",14.5,0.11894053,18.26235292,"SRS6"
"205","SRS6_plot_component_summary.csv",63,"trunk","14.5–15",14.5,0.042120211,0.970046214,"SRS6"
"206","SRS6_plot_component_summary.csv",64,"branch","15–15.5",15,0.10656332,15.20813324,"SRS6"
"207","SRS6_plot_component_summary.csv",65,"trunk","15–15.5",15,0.015645509,0.324150912,"SRS6"
"208","SRS6_plot_component_summary.csv",66,"branch","15.5–16",15.5,0.088189743,12.38930543,"SRS6"
"209","SRS6_plot_component_summary.csv",67,"trunk","15.5–16",15.5,0.023799465,0.51270679,"SRS6"
"210","SRS6_plot_component_summary.csv",68,"branch","16–16.5",16,0.060703402,9.249842458,"SRS6"
"211","SRS6_plot_component_summary.csv",69,"trunk","16–16.5",16,0.008217641,0.202654529,"SRS6"
"212","SRS6_plot_component_summary.csv",70,"branch","16.5–17",16.5,0.069046403,8.568141796,"SRS6"
"213","SRS6_plot_component_summary.csv",71,"trunk","16.5–17",16.5,0.00643946,0.173103766,"SRS6"
"214","SRS6_plot_component_summary.csv",72,"branch","17–17.5",17,0.035691676,5.382725622,"SRS6"
"215","SRS6_plot_component_summary.csv",73,"branch","17.5–18",17.5,0.020368777,2.194612892,"SRS6"
"216","SRS6_plot_component_summary.csv",74,"branch","18–18.5",18,0.002596886,0.582026786,"SRS6"
"217","SRS6_plot_component_summary.csv",75,"branch","18.5–19",18.5,0.000221233,0.085158838,"SRS6"
